#Year   glob_temp_dev  RF_nonCO2  RF_budget  co2_atm     fossil_CO2_em   budget_C_uptake
2049    -9999.9999     1.04       0          -9999.9999  2.02297717      0
2050    -9999.9999     1.04       0          -9999.9999  2.001493212     0
2051    -9999.9999     1.04       0          -9999.9999  1.980485445     0
2052    -9999.9999     1.04       0          -9999.9999  1.959938604     0
2053    -9999.9999     1.04       0          -9999.9999  1.939838211     0
2054    -9999.9999     1.04       0          -9999.9999  1.920170497     0
2055    -9999.9999     1.04       0          -9999.9999  1.900922342     0
2056    -9999.9999     1.04       0          -9999.9999  1.882081213     0
2057    -9999.9999     1.04       0          -9999.9999  1.863635117     0
2058    -9999.9999     1.04       0          -9999.9999  1.845572562     0
2059    -9999.9999     1.04       0          -9999.9999  1.827882515     0
2060    -9999.9999     1.04       0          -9999.9999  1.810554374     0
2061    -9999.9999     1.04       0          -9999.9999  1.793577938     0
2062    -9999.9999     1.04       0          -9999.9999  1.776943383     0
2063    -9999.9999     1.04       0          -9999.9999  1.760641238     0
2064    -9999.9999     1.04       0          -9999.9999  1.744662368     0
2065    -9999.9999     1.04       0          -9999.9999  1.728997952     0
2066    -9999.9999     1.04       0          -9999.9999  1.713639474     0
2067    -9999.9999     1.04       0          -9999.9999  1.698578698     0
2068    -9999.9999     1.04       0          -9999.9999  1.683807664     0
2069    -9999.9999     1.04       0          -9999.9999  1.669318672     0
2070    -9999.9999     1.04       0          -9999.9999  1.655104269     0
2071    -9999.9999     1.04       0          -9999.9999  1.641157241     0
2072    -9999.9999     1.04       0          -9999.9999  1.627470602     0
2073    -9999.9999     1.04       0          -9999.9999  1.614037587     0
2074    -9999.9999     1.04       0          -9999.9999  1.600851639     0
2075    -9999.9999     1.04       0          -9999.9999  1.587906405     0
2076    -9999.9999     1.04       0          -9999.9999  1.575195728     0
2077    -9999.9999     1.04       0          -9999.9999  1.562713637     0
2078    -9999.9999     1.04       0          -9999.9999  1.550454344     0
2079    -9999.9999     1.04       0          -9999.9999  1.538412235     0
2080    -9999.9999     1.04       0          -9999.9999  1.526581863     0
2081    -9999.9999     1.04       0          -9999.9999  1.514957946     0
2082    -9999.9999     1.04       0          -9999.9999  1.503535357     0
2083    -9999.9999     1.04       0          -9999.9999  1.492309123     0
2084    -9999.9999     1.04       0          -9999.9999  1.481274415     0
2085    -9999.9999     1.04       0          -9999.9999  1.470426548     0
2086    -9999.9999     1.04       0          -9999.9999  1.459760973     0
